# Dii Buffer Dump - 15625 elements
# Index,X,Y,Z,Magnitude
66,-0.0007027452,-0.0008755263,0.0005504484,0.001250356
67,-1.313338E-05,0.0001167611,8.576166E-06,0.00011781
68,-1.344017E-05,2.914193E-05,-6.679938E-06,3.277975E-05
69,-1.34471E-05,2.914782E-05,-6.711262E-06,3.279422E-05
70,-3.942464E-06,8.79177E-06,2.873476E-05,3.030718E-05
71,-1.631094E-05,3.824352E-06,1.126049E-05,2.018591E-05
72,-1.633792E-05,3.790168E-06,1.123326E-05,2.018611E-05
73,0.002900492,0.0001522541,-0.001270831,0.003170338
74,7.175858E-05,7.343034E-05,1.523631E-05,0.0001037952
75,-5.889441E-05,4.86627E-05,2.674195E-05,8.094282E-05
76,-2.529353E-05,3.944758E-05,4.2375E-05,6.317844E-05
77,7.766708E-05,3.642E-05,3.243138E-05,9.170816E-05
78,-2.769315E-05,-7.729494E-06,1.338628E-05,3.171511E-05
79,0.0001610476,0.003479434,0.0001306971,0.00348561
80,-6.396627E-05,4.596912E-05,1.511875E-05,8.020861E-05
81,7.62119E-05,-1.42404E-05,-3.564972E-05,8.533432E-05
82,3.681816E-05,1.439073E-05,1.083831E-05,4.09895E-05
83,7.942281E-05,4.556161E-05,5.359407E-05,0.0001060951
84,-0.0001749789,9.608114E-05,-4.185272E-05,0.0002039629
85,6.605991E-07,-3.589038E-06,-4.991996E-06,6.183657E-06
86,2.503894E-06,-6.422225E-06,-6.770785E-06,9.662193E-06
87,-6.074259E-06,5.791373E-06,-4.231585E-06,9.399092E-06
88,1.277575E-06,-9.552536E-06,-1.802985E-06,9.804789E-06
89,-6.136812E-07,5.018587E-06,1.17027E-06,5.189639E-06
90,-3.670038E-06,-6.068132E-06,-4.979026E-06,8.664993E-06
91,-1.186708E-06,4.660026E-06,-1.135928E-05,1.233521E-05
92,-1.10341E-06,-1.116873E-08,-7.638057E-06,7.717354E-06
93,0.004105879,-0.001327609,0.00683885,0.008086449
94,0.0005101436,9.815374E-05,0.000899603,0.001038829
95,-0.0002782884,0.0002438228,5.344451E-05,0.0003738319
96,-0.0004259556,-0.0003874289,0.0009625301,0.001121608
97,-0.0001062561,-2.338083E-05,0.0001533118,0.0001879935
98,-0.0003165209,0.0002550668,0.0003612194,0.0005438051
99,-7.946167E-07,5.01567E-07,-1.80565E-07,9.56864E-07
100,2.434664E-06,-1.996719E-06,-1.260647E-06,3.391712E-06
101,2.439513E-06,-1.994537E-06,-1.259519E-06,3.393492E-06
102,-3.544764E-06,-2.37321E-06,-4.629246E-07,4.290894E-06
103,3.061876E-06,1.046325E-06,-8.590488E-09,3.235731E-06
