# DPSum Buffer Dump - 15625 elements
# Index,X,Y,Z,Magnitude
125,0.4516903,0.9110059,-0.3098997,1.063012
126,8.171564,0.6141157,-8.729975,11.97347
127,-313.3987,1605.434,2949.871,3373.037
128,-248.7618,-800.6109,1242.662,1499.023
129,-6841.171,1396.771,5141.925,8671.331
130,0.0001326646,4.038113E-05,-0.000171735,0.0002207339
131,6.995694E-05,2.68766E-05,-0.0001344955,0.0001539655
132,8.241616E-05,7.082277E-06,-0.0001981817,0.0002147523
133,0.0001275473,1.823559E-05,-0.0002072858,0.000244066
134,7.477489E-05,0.0002873353,-0.0002159516,0.0003671348
135,0.0001051948,-3.438054E-05,-0.000195213,0.0002244016
136,-44.30323,-24.58283,-41.23089,65.32288
137,27.19775,7.463231,-99.12224,103.0565
138,9.810323,0.9433832,-50.66211,51.61183
139,8.312839,3.774913,-28.03949,29.48841
140,2.802622,3.239093,-14.94162,15.54344
141,-927.6179,-127372.6,-101448.4,162838.7
142,4319.248,-17986.59,-22542.91,29160.87
143,-6981.04,-20445.64,-96278.88,98673.11
144,23253.66,-4455.624,-19809.04,30870.43
145,-790.033,2265.226,-76314.05,76351.75
146,-720.8513,-16908.51,-72812.09,74753.05
147,2.205192E-05,1.934854E-05,5.728745E-05,6.436229E-05
148,1.390409E-05,2.003381E-05,5.649904E-05,6.153714E-05
149,-3.974068E-05,7.222162E-05,4.053224E-05,9.185939E-05
150,-1.422075E-05,-1.960111E-05,3.989202E-05,4.666697E-05
151,-1.315871E-05,1.962754E-05,3.762453E-05,4.442969E-05
152,3.207423E-06,3.29942E-05,5.478061E-05,6.402984E-05
153,1.389016E-05,2.001938E-05,5.646327E-05,6.149644E-05
154,-7.97357E-05,0.0001919055,4.893834E-05,0.0002134958
155,-4.658902E-05,9.167646E-05,4.251929E-05,0.0001112789
156,-0.0001678193,0.0001629023,4.240582E-05,0.0002376946
157,-42.41491,30.89793,-39.50466,65.68353
158,-66.53535,16.65537,-112.2863,131.5773
159,-2856.513,33913.95,177286.2,180523.4
160,-10.84357,4.475159,14.73735,18.83612
161,-7.831266,-4.777087,14.18656,16.89402
162,-5059.415,3076.177,-5432.883,8035.967
163,-14416.21,945.9359,-5468.881,15447.67
164,-30495.97,40585.83,32659.25,60364.23
165,2.324742E-05,3.813525E-05,-2.317388E-05,5.031668E-05
166,4.743436E-06,3.695574E-05,1.6593E-07,3.725928E-05
167,4.828744E-06,3.697113E-05,1.852521E-07,3.728559E-05
168,-4.699462E-06,4.910143E-05,-1.249483E-05,5.088375E-05
169,1.780627E-05,2.462354E-05,-3.31496E-05,4.496975E-05
170,-1.204015E-05,3.936741E-05,-2.02736E-05,4.588874E-05
171,2.32142E-05,3.813161E-05,-2.321708E-05,5.03185E-05
172,-5.955278E-06,4.541039E-05,-8.447871E-06,4.657183E-05
173,-4.584719E-06,5.145763E-05,-6.804747E-06,5.210769E-05
174,-2.372641E-05,0.0001383526,4.642508E-05,0.0001478502
175,-2.370117E-05,0.0001383679,4.638894E-05,0.0001478491
