# IterPressures Buffer Dump - 15625 elements
# Index,Value
633,27.98393
634,27.93744
635,24.17853
636,46.8005
637,89.02773
638,501.6321
639,562.7874
640,559.9297
641,559.964
642,559.0471
643,378.0245
644,559.1459
645,631.3097
646,370.0743
647,1269.398
648,0
649,103217
650,0
651,14.54864
652,1887882
653,17.69576
654,16.01013
655,15.85677
656,42000.21
657,19.67042
658,7.967548
659,8.035961
660,9.174288
661,23.73217
662,19.12685
663,10.68423
664,19.18228
665,7.393424
666,16.51923
667,7.467991
668,0
669,4.412735
670,825568.1
671,0
672,0
673,0
674,0
675,3.550084
676,0
677,0
678,0
679,0
680,247013
681,33.86411
682,17.84231
683,37.69946
684,23.37173
685,36.43249
686,35.45248
687,22.38097
688,45.80197
689,45.66788
690,36.38718
691,27.54492
692,27.5312
693,47.25358
694,444.4625
695,476.0091
696,475.9444
697,518.5174
698,573.7207
699,520.4099
700,348.2308
701,408.0941
702,408.1132
703,0
704,17.50102
705,26.20396
706,13.56918
707,23.21987
708,25.89547
709,3.448948E+07
710,26.26755
711,12.38517
712,26.14664
713,423511.7
714,1.482523E+07
715,0
716,0
717,10.85934
718,6.336019
719,14.92276
720,11.67982
721,18.86633
722,8.844289
723,34.43406
724,24.0836
725,46.37179
726,71.40268
727,0
728,196.5002
729,630401.7
730,5.394188
731,0
732,1.280235
733,3.047341
734,1.383103
735,4.402572
736,3.200512
737,4.437042
738,5.686479
739,8448781
740,25.88798
741,28.85362
742,18.36497
743,32.79439
744,33.34711
745,58.70144
746,33.92926
747,26.78669
748,33.97687
749,29.69266
750,534.44
751,13.90969
752,301.9498
753,493.4875
754,443.1727
755,201.0169
756,280.5128
757,184422.8
758,0
759,11.302
760,11.37444
761,13.8274
762,8.664684
763,1.106973
764,2656.576
765,22.20245
766,12.13587
767,807387.1
768,757684
769,36.61913
770,33.14317
771,36.6326
772,27.19852
773,27.13145
774,0
775,32.53085
776,0
777,29.25441
778,12.87136
779,5.645672
780,20.80687
781,21.50253
782,26.29332
783,26.25382
784,28.88983
785,0
786,99.40429
787,84.22103
788,397.171
789,1009.498
790,8395528
791,0
792,3.489645
793,4.869929
794,1.607658
795,3.449443
796,4.860077
797,2.953677
798,2.922769
799,1.622418
800,34337.26
801,12.00883
802,12.18648
803,46.71301
804,46.56619
805,52.01955
806,44.57558
807,54.42495
808,50.05253
809,54.44421
810,49.92499
811,52.1465
812,11.4292
813,44.55402
814,452.9641
815,163.0512
816,124.0269
817,442.1049
818,230.6784
819,258.9442
820,114.2565
821,675.1895
822,1862664
823,3131319
824,5768494
825,4561778
826,4380767
827,4720713
828,52.10293
829,52.1024
830,38.54827
831,35.16031
832,24.80003
833,35.09219
834,38.43868
835,56.83975
836,0
837,4.168808
838,6.260925
839,0
840,9.849697
841,37.05152
842,0
843,27.22837
844,17.43637
845,18.38266
846,32.33627
847,2.007341
848,9.074236
849,24.95117
850,18.99461
851,17.47688
852,27.26498
853,27.35081
854,795.4691
855,267.1956
856,907.5571
857,335.8589
858,465.1391
859,1.823154E+07
860,1.437579E+07
861,0
862,3.125237
863,2.421646
864,0
865,5.261999
866,2.266296
867,8.218235
868,1.781913
869,0
870,146.4192
871,101.9336
872,0
873,45.98799
874,86.1201
875,85.54828
876,50.50248
877,62.30489
878,41.22015
879,0
880,59.98922
881,59.93462
882,104.9519
883,104.9225
884,0
885,35.65882
886,35.68227
887,18.80115
888,19.19725
889,6.002213
890,18.23736
891,7.409159
892,1546.87
893,1546.424
894,25.34102
895,821.5621
896,566.7318
897,343.5116
898,2105.156
899,988.387
900,0
901,9.539763
902,3.566213
903,2.679008
904,4.429523
905,7.880994
906,10.16513
907,7.501163
908,9.410913
909,7.453396
910,0
911,0
912,0
913,83.50269
914,53.08259
915,41.06385
916,51.03212
917,69.44305
918,112.6988
919,112.7201
920,27.38324
921,193.2139
922,27.48957
923,188.2161
924,182.6101
925,0
926,11.61947
927,14.26075
928,17.32469
929,27.85568
930,21.85861
931,22.44291
932,21.22475
933,25.07232
934,9.254267
935,19.43879
936,24.98653
937,244.2263
938,0
939,134.4724
940,562.7545
941,0
942,11.29989
943,6.333483
944,5.226538
945,12.10332
946,12.00777
947,4.735641
948,10.1731
949,10.17046
950,6.278194
951,11.39755
952,0
953,0
954,0
955,119.5783
956,74.68008
957,119.5817
958,99.18399
959,86.67547
960,99.19965
961,145.2309
962,71.11613
963,71.1063
964,145.301
965,398.162
966,24.07248
967,9.496481
968,26.7429
969,12.38383
970,16.56403
971,20.17936
972,32.58437
973,27.74366
974,27.7295
975,26.44861
976,1413.182
977,1549.083
978,669.7304
979,1071.723
980,456.0671
981,589.0038
982,1608.286
983,1303.958
984,755.6896
985,1303.282
986,4802998
987,261919.7
988,1875232
989,0
990,1.316598
991,4.022734
992,0
993,3.774196
994,1.339855
995,0
996,11072.97
997,11121.01
998,12.71927
999,12.75975
1000,10.43667
1001,8.671271
1002,7.291119
1003,7.936104
1004,5.435706
1005,9.91227
1006,10.60375
1007,6.994019
1008,0
1009,0
1010,59.3843
1011,0
1012,0
1013,0
1014,0
1015,6580821
1016,1529407
1017,0.9980142
1018,0
1019,1.050079
1020,0
1021,114.8198
1022,139.8878
1023,128.5208
1024,119.3709
1025,119.345
1026,173.4139
1027,148.2859
1028,148.177
1029,69.49368
1030,0
1031,0
1032,44.22598
1033,43.52213
1034,12.634
1035,43.56232
1036,35.06024
1037,21.08206
1038,31.37465
1039,12.37612
1040,21.6228
1041,44.24994
1042,3762.857
1043,1673.235
