# Aii Buffer Dump - 15625 elements
# Index,Value
280,-0.05844775
281,-0.09339595
282,-0.05944243
283,-0.05959203
284,-0.3234784
285,-0.2370683
286,-28.33903
287,-0.5319718
288,-1.052401
289,-16.58509
290,-0.07276012
291,-0.1043569
292,-0.08801723
293,-0.100733
294,-0.08334192
295,-0.1138161
296,-0.07278549
297,-0.0946135
298,-0.02878557
299,-0.02605934
300,-0.2834575
301,-0.04982018
302,-0.04979338
303,-361.7019
304,-2.652114
305,-4.107465
306,-2.61338
307,-1.770708
308,-0.04593447
309,-0.07625463
310,-0.04593661
311,-0.07641761
312,-0.04778541
313,-0.1033771
314,-0.07624223
315,-0.1150737
316,-0.04776866
317,-0.09444872
318,-0.2394518
319,-4.470576
320,-0.2044926
321,-0.04430413
322,-0.1015778
323,-0.1271559
324,-0.04479606
325,-0.6259955
326,-5.23314
327,-0.7319699
328,-0.6463626
329,-0.1130257
330,-0.1141272
331,-0.7075794
332,-0.5964401
333,-0.09315004
334,-0.08893842
335,-0.09774601
336,-0.09461937
337,-0.09265179
338,-0.06954633
339,-0.110942
340,-0.1108751
341,-0.08200786
342,-0.08277427
343,-0.06951903
344,-0.0835034
345,-0.08689871
346,-0.1671093
347,-0.2544973
348,-0.05337809
349,-0.061963
350,-0.3628106
351,-0.0466143
352,-0.08649983
353,-1.747921
354,-0.2002103
355,-0.002528941
356,-0.002525872
357,-5.902637
358,-1.546812
359,-0.08916043
360,-0.08761001
361,-0.1518143
362,-0.162794
363,-0.2545769
364,-0.1037805
365,-0.2961129
366,-0.1037251
367,-1.416249
368,-16.24494
369,-0.1114748
370,-0.08402129
371,-0.09021819
372,-0.1057752
373,-0.08338854
374,-0.06404062
375,-0.09685419
376,-0.06405924
377,-0.9724441
378,-1.215292
379,-1.714139
380,-1.583837
381,-0.1528782
382,-0.1405208
383,-0.1143643
384,-0.1405175
385,-0.1131908
386,-0.09534133
387,-0.1032947
388,-0.1143427
389,-0.08843995
390,-0.05376212
391,-0.09876387
392,-0.07707574
393,-0.08863648
394,-0.05375883
395,-0.2776451
396,-0.4072378
397,-0.4335536
398,-0.6064544
399,-0.1654105
400,-0.2337273
401,-0.09665804
402,-0.08112153
403,-0.08853877
404,-0.1654101
405,-1.862649
406,-0.06508681
407,-0.1029431
408,-0.09275004
409,-0.07705998
410,-0.06511005
411,-0.0621798
412,-0.09055027
413,-0.06217999
414,-0.09864808
415,-0.07539158
416,-0.3051741
417,-0.07538802
418,-0.1061286
419,-0.0916476
420,-0.05895082
421,-0.05890948
422,-0.0467293
423,-0.091984
424,-0.0920396
425,-0.04672991
426,-0.1762446
427,-0.8279306
428,-0.8912678
429,-0.7475139
430,-0.3855824
431,-0.3421566
432,-0.094667
433,-0.0569672
434,-0.07136788
435,-0.0690337
436,-0.07632725
437,-0.05695292
438,-0.04923491
439,-0.08241498
440,-0.09030493
441,-0.0492353
442,-0.08186431
443,-0.2682129
444,-0.3275208
445,-0.4254104
446,-0.04181964
447,-0.04392275
448,-14.35355
449,-0.2116832
450,-0.2116708
451,-0.05966542
452,-0.059558
453,-0.09565753
454,-0.09164538
455,-0.08908445
456,-0.09141899
457,-0.09880712
458,-0.4307077
459,-0.7560249
460,-31.98703
461,-33.71477
462,-0.274431
463,-0.4104554
464,-0.3165781
465,-0.17306
466,-0.428605
467,-0.09599753
468,-0.1194345
469,-0.06910247
470,-0.1117378
471,-0.1057835
472,-0.1310059
473,-0.06909375
474,-0.09485721
475,-0.216221
476,-0.6215135
477,-0.2467977
478,-0.1412563
479,-4.265701
480,-0.07943293
481,-0.09001816
482,-0.07146309
483,-0.1046939
484,-0.07246999
485,-0.09858799
486,-0.09262971
487,-0.04796552
488,-0.05249127
489,-0.0932545
490,-0.09046082
491,-0.05153793
492,-0.05154081
493,-0.05248483
494,-0.04796655
495,-5.961586
496,-2.232156
497,-1.171165
498,-3.015723
499,-0.1520723
500,-0.3502031
501,-0.1360109
502,-0.2369211
503,-0.2210875
504,-0.5161985
505,-0.4188672
506,-0.1217938
507,-0.1231262
508,-0.05400932
509,-0.221126
510,-0.0540949
511,-0.07889453
512,-0.07893598
513,-0.1833713
514,-0.0510893
515,-0.0523428
516,-0.1261887
517,-0.1635828
518,-0.1800543
519,-0.2014301
520,-0.2478999
521,-3.567331
522,-3.011802
523,-2.280899
524,-0.08744384
525,-0.09155864
526,-0.09480998
527,-0.07858746
528,-0.0871406
529,-0.09478821
530,-0.09090498
531,-0.08567726
532,-0.09300001
533,-0.08227682
534,-0.04497014
535,-0.04496997
536,-0.09431637
537,-0.3455815
538,-0.9928238
539,-0.7238324
540,-3.566017
541,-3.56671
542,-0.09301135
543,-0.05942949
544,-0.0755413
545,-0.05461752
546,-0.05461129
547,-0.05943011
548,-0.07689751
549,-0.03654855
550,-2.79274
551,-0.04487892
552,-0.1282297
553,-0.1282062
554,-0.02319535
555,-0.02325037
556,-0.04049334
557,-0.1484135
558,-0.1476495
559,-0.04049731
560,-0.04251836
561,-0.1406737
562,-0.229243
563,-19.14142
564,-0.5961692
565,-0.5989925
566,-0.318913
567,-0.435279
568,-2.679806
569,-11.95833
570,-0.07630029
571,-0.09025939
572,-0.0753608
573,-0.08280597
574,-5.47438
575,-0.08696961
576,-0.07842258
577,-1.309003
578,-0.04709846
579,-0.09223388
580,-0.09040078
581,-0.0961947
582,-0.08916467
583,-0.04709791
584,-0.09342717
585,-0.5076106
586,-0.5112692
587,-6.550142
588,-0.06668504
589,-0.08867235
590,-0.09480715
591,-0.06897505
592,-0.08870764
593,-0.09482955
594,-0.09410916
595,-1.243428
596,-0.1353963
597,-0.1115119
598,-0.1111827
599,-0.172664
600,-0.1486331
601,-0.07792429
602,-0.0791247
603,-11.71508
604,-0.05426291
605,-0.05630277
606,-1.683756
607,-0.05620467
608,-0.05414689
609,-0.05561691
610,-0.05560229
611,-0.1133994
612,-0.09616931
613,-0.07898162
614,-0.05345783
615,-0.04837034
616,-0.05345687
617,-0.09383656
618,-0.09746861
619,-0.0483675
620,-0.0971872
621,-0.0954349
622,-0.6630816
623,-0.3897532
624,-0.5236911
625,-5.310951
626,-9.586739
627,-0.130232
628,-0.1301862
629,-0.08153085
630,-0.07334581
631,-0.07334681
632,-0.09610216
633,-0.06343512
634,-0.06345971
635,-0.07668281
636,-0.1128762
637,-0.2338078
638,-0.1470186
639,-0.1104307
640,-0.06177738
641,-0.06177541
642,-0.05682658
643,-0.1030201
644,-0.05678687
645,-0.1192883
646,-0.1294926
647,-0.1539992
648,-4.571766
649,-1.921519
650,-1.604733
651,-0.09386136
652,-1.260817
653,-0.09219013
654,-0.07655473
655,-0.0837687
656,-3.563791
657,-0.08946388
658,-0.08201613
659,-0.09097952
660,-0.09909608
661,-0.09325029
662,-0.04595169
663,-0.0800283
664,-0.0459501
665,-0.09949283
666,-0.08949075
667,-0.09494739
668,-0.0991261
669,-2.1941
670,-24.09596
671,-0.1429896
672,-0.2059957
673,-0.2178108
674,-0.1231377
675,-0.1194768
676,-0.1644521
677,-0.1430434
678,-0.1300062
679,-4.137813
680,-3.193967
681,-0.08905014
682,-0.0914506
683,-0.09873803
684,-0.08450317
685,-0.06061128
686,-0.09177767
687,-0.09381083
688,-0.04696799
689,-0.04698151
690,-0.06061903
691,-0.04720981
692,-0.04720701
693,-0.07451483
694,-0.1062485
695,-0.05680105
696,-0.05680128
697,-0.08600359
698,-0.06400041
699,-0.1286922
700,-0.1000613
701,-0.06152862
702,-0.06152277
703,-5.536269
704,-0.07932842
705,-0.05216813
706,-0.08472495
