# Densities Buffer Dump - 46875 elements
# Index,Value
756,24.0569
757,1.507222
758,24.85793
759,25.30085
760,25.30109
761,25.51411
762,25.21036
763,25.12337
764,0.3229059
765,25.66742
766,25.40431
767,10.57307
768,10.52677
769,26.12042
770,25.6116
771,26.05136
772,26.11112
773,26.11072
774,20.05096
775,25.0399
776,24.51001
777,26.14941
778,24.90588
779,25.9551
780,25.89319
781,25.89808
782,25.28517
783,25.28503
784,23.62961
785,24.52435
786,9.39615
787,8.746603
788,8.598207
789,8.824941
790,1.173098
791,0.9440408
792,25.17887
793,25.13143
794,25.12316
795,25.17837
796,25.13116
797,25.11287
798,25.11279
799,25.12354
800,0.438883
801,29.10081
802,29.1024
803,28.3128
804,28.31231
805,26.8907
806,28.07201
807,28.44486
808,29.74593
809,28.44486
810,29.74449
811,26.8917
812,26.79239
813,28.07172
814,29.25346
815,23.69404
816,25.02869
817,26.95091
818,20.76462
819,28.68456
820,25.83602
821,26.84921
822,13.23927
823,19.44232
824,23.93934
825,17.79345
826,24.10354
827,13.11635
828,25.88073
829,25.88402
830,25.69525
831,25.68229
832,25.93716
833,25.68225
834,25.69428
835,24.84449
836,28.05136
837,24.10065
838,24.13272
839,28.05125
840,18.53921
841,24.65671
842,21.1363
843,25.94539
844,25.5453
845,25.51548
846,25.51621
847,25.21154
848,25.52094
849,24.74569
850,25.53925
851,25.54523
852,25.54515
853,25.54539
854,12.97991
855,12.67141
856,13.0088
857,17.85621
858,8.835691
859,0.3154394
860,1.067151
861,1.046319
862,25.2589
863,25.04905
864,24.37512
865,25.32684
866,25.14048
867,25.4336
868,25.12126
869,8.261122
870,11.39426
871,10.98484
872,0.4687491
873,26.11647
874,26.54264
875,26.53963
876,26.20918
877,26.41864
878,25.93417
879,23.95203
880,27.22905
881,27.22802
882,24.19445
883,24.19187
884,23.22161
885,25.65635
886,25.65643
887,25.7806
888,25.70706
889,25.41935
890,25.86462
891,17.58011
892,19.17893
893,19.18305
894,23.06371
895,22.06883
896,21.83939
897,13.53739
898,10.66791
899,16.82527
900,24.56091
901,25.26023
902,25.2226
903,25.11275
904,25.3097
905,25.41783
906,25.45664
907,25.21611
908,25.25947
909,25.21577
910,13.03519
911,13.05484
912,9.17217
913,26.77175
914,26.18124
915,26.19701
916,26.25452
917,26.67478
918,26.86707
919,26.86722
920,29.93636
921,32.15187
922,29.9365
923,32.14271
924,30.31407
925,26.77007
926,25.65402
927,25.86329
928,25.92861
929,25.99325
930,26.0983
931,25.88924
932,26.14575
933,25.54714
934,25.88841
935,25.81923
936,25.54739
937,22.58921
938,24.98787
939,22.93294
940,20.10325
941,0.9173317
942,25.35819
943,25.35562
944,25.17694
945,25.32978
946,25.32835
947,25.2701
948,25.39532
949,25.39535
950,25.27115
951,25.35856
952,9.485848
953,10.34075
954,0.02625624
955,27.75628
956,27.39889
957,27.75634
958,27.02525
959,26.52393
960,27.02563
961,22.23511
962,23.01994
963,23.01979
964,22.23471
965,13.93133
966,26.05834
967,25.49996
968,26.76047
969,25.80186
970,25.95103
971,25.93798
972,26.57557
973,25.41219
974,25.41216
975,26.22633
976,22.8912
977,25.75694
978,26.10921
979,26.09415
980,24.9521
981,24.07441
982,27.24539
983,24.96605
984,24.87077
985,25.41163
986,0.6353033
987,0.2803231
988,1.190001
989,0.8604537
990,25.05385
991,25.14523
992,15.95897
993,25.14512
994,25.05397
995,15.95933
996,10.97696
997,10.9775
998,25.26116
999,25.26148
1000,25.35779
1001,25.23706
1002,25.39265
1003,25.29404
1004,25.30755
1005,25.33837
1006,25.35823
1007,25.39956
1008,4.622883
1009,11.81477
1010,8.944528
1011,12.59249
1012,12.59165
1013,0.4740118
1014,0.5297976
1015,0.4903199
1016,0.5145767
1017,25.04183
1018,16.97352
1019,25.04254
1020,0.03381509
1021,27.55669
1022,27.67599
1023,28.82329
1024,28.82577
1025,28.8257
1026,28.62656
1027,28.08108
1028,28.08046
1029,13.19091
1030,10.91894
1031,11.18426
1032,26.83309
1033,26.39607
1034,26.21161
1035,26.39656
1036,26.9142
1037,26.54256
1038,26.73838
1039,25.88799
1040,26.71616
1041,26.83302
1042,29.22712
1043,23.89499
1044,29.46729
1045,27.9629
1046,28.66222
1047,28.34095
1048,28.34157
1049,28.17505
1050,28.63664
1051,17.28578
1052,6.111979
1053,7.866443
1054,25.61802
1055,25.71514
1056,25.61013
1057,25.04567
1058,25.33882
1059,25.76665
1060,5.743259
1061,0.07171748
1062,25.00491
1063,21.34454
1064,25.20848
1065,22.01431
1066,23.27072
1067,24.55233
1068,25.00479
1069,24.73652
1070,24.89519
1071,27.32334
1072,27.32317
1073,28.30388
1074,28.30339
1075,4.664128
1076,25.57509
1077,25.41825
1078,25.50929
1079,25.50928
1080,24.96521
1081,25.22401
1082,25.57524
1083,25.44829
1084,25.3576
1085,25.46789
1086,3.952883
1087,21.70242
1088,0.01331187
1089,24.94399
1090,24.27221
1091,25.31356
1092,25.29476
1093,22.78963
1094,25.11436
1095,0.006631926
1096,27.89389
1097,27.89083
1098,28.25859
1099,28.25863
1100,28.01973
1101,27.53831
1102,27.68956
1103,27.53798
1104,13.24796
1105,9.105782
1106,26.05366
1107,25.60124
1108,25.32613
1109,24.6939
1110,25.54588
1111,25.54572
1112,25.24278
1113,25.79452
1114,27.62782
1115,13.49815
1116,22.04107
1117,22.04383
1118,23.28768
1119,22.40849
1120,25.40443
1121,0.2133536
1122,25.07634
1123,25.08754
1124,25.18268
1125,25.31721
1126,25.29189
1127,25.08865
1128,24.34305
1129,25.01406
1130,25.31948
1131,26.79714
1132,26.79636
1133,29.21638
1134,28.35582
1135,27.99426
1136,27.99426
1137,28.35605
1138,29.21566
1139,4.323261
1140,7.510254
1141,8.693601
1142,9.078086
1143,25.5517
1144,26.09508
1145,25.6929
1146,25.53804
1147,25.47337
1148,25.79014
1149,25.38751
1150,25.70954
1151,25.76069
1152,25.9253
1153,25.66015
1154,23.97524
1155,22.49056
1156,25.97244
1157,19.46792
1158,18.99034
1159,23.72962
1160,23.72996
1161,19.05828
1162,21.23354
1163,3.194068
1164,1.420347
1165,3.520985
1166,25.12541
1167,25.06735
1168,25.20178
1169,25.19297
1170,25.26077
1171,25.10814
1172,25.4977
1173,24.65394
1174,25.12543
1175,25.19335
1176,25.04904
1177,0.6823924
1178,27.06152
1179,27.07882
1180,27.07857
1181,27.06149
1182,27.31259
1183,27.31297
1184,1.495684
1185,4.434345
1186,17.94087
1187,17.78289
1188,26.63541
1189,25.93653
1190,26.40135
1191,26.10113
1192,26.40505
1193,26.76049
1194,26.10118
1195,26.35412
1196,27.3753
1197,26.97498
1198,27.37486
1199,25.83775
1200,26.09099
1201,10.48895
1202,10.4169
1203,25.18508
1204,25.33647
1205,25.15868
1206,25.06275
1207,25.2181
1208,25.30756
1209,25.30779
1210,25.20367
1211,25.30516
1212,25.18472
1213,4.157821E-05
1214,29.0693
1215,29.0682
1216,28.65306
1217,28.08769
1218,28.65318
1219,27.87754
1220,27.8779
1221,28.35605
1222,3.956466
1223,8.428822
1224,4.754805
1225,24.96889
1226,25.05172
1227,25.27122
1228,25.26174
1229,25.27039
1230,25.22878
1231,25.14001
1232,25.17018
1233,25.27967
1234,25.21056
1235,25.22928
1236,25.32905
1237,0.01950511
1238,29.06391
1239,29.13692
1240,29.06404
1241,28.64986
1242,28.71654
1243,28.71684
1244,28.86602
1245,28.95194
1246,11.50794
1247,11.37677
1248,9.864066
1249,3.900759
1250,0.05374222
1251,0.6187181
1252,25.28274
1253,25.41979
1254,25.29926
1255,25.43191
1256,25.29097
1257,25.29041
1258,25.41839
1259,25.35101
1260,14.92553
1261,0.007375298
1262,0.01461048
1263,29.56697
1264,29.46708
1265,29.26035
1266,28.64125
1267,7.687266
1268,9.336756
1269,12.63056
1270,13.20629
1271,14.26346
1272,0.1215328
1273,25.54672
1274,25.51963
1275,25.23364
1276,25.53571
1277,25.34729
1278,25.40415
1279,25.53513
1280,25.3392
1281,18.11734
1282,21.1438
1283,14.84435
1284,19.93415
1285,19.93394
1286,28.98704
1287,28.94844
1288,28.94856
1289,28.41525
1290,28.41447
1291,29.62103
1292,28.98669
1293,17.67925
1294,19.80984
1295,13.51014
1296,23.91073
1297,23.91124
1298,0.2977739
1299,26.07284
1300,26.20576
1301,26.2417
1302,25.98303
1303,26.05028
1304,26.2451
1305,26.22653
1306,22.9475
1307,21.5662
1308,24.57967
1309,24.57987
1310,23.90331
1311,18.93142
1312,23.9052
1313,4.628773
1314,2.479596
1315,0.05719456
1316,30.29817
1317,28.41486
