# Velocities Buffer Dump - 15625 elements
# Index,X,Y,Z,Magnitude
370,0.3609009,0.2828089,1.237546,1.319754
371,0.3145135,-0.04891332,1.197603,1.239179
372,0.2503334,-0.05276467,1.09447,1.123973
373,0.08864691,0.2497273,1.238611,1.26664
374,0.7447368,0.1391378,1.108485,1.342659
375,0.5672975,0.5651461,1.374389,1.590648
376,0.7436115,0.1400397,1.106874,1.340798
377,-2.840302,2.408363,-3.336536,5
378,3.537937,3.493903,0.525022,5
379,2.292281,2.995349,3.282276,5
380,-0.4509775,-1.219139,4.828076,5
381,-0.242619,-0.2585242,1.508605,1.549705
382,-0.3762637,-0.1195912,1.509822,1.560589
383,-0.3407488,-0.005515,1.199616,1.247084
384,-0.3741493,-0.1218107,1.513833,1.564134
385,-0.2199183,-0.2420227,1.56212,1.595982
386,-0.3613751,0.0337055,1.461442,1.505836
387,-0.5884083,-0.06476907,1.413833,1.532756
388,-0.341687,-0.002715268,1.20148,1.249124
389,0.7896651,1.510188,-0.01862958,1.704284
390,0.7747746,1.129642,0.000117466,1.369806
391,1.191298,1.050191,0.02708307,1.58834
392,0.7965924,1.672545,0.03250573,1.852842
393,0.8615794,1.206599,0.007427264,1.482652
394,0.7787902,1.128064,-0.02234045,1.370964
395,-4.677247,-1.391719,1.034795,4.988419
396,3.213955,0.9102789,3.534445,4.863169
397,2.602823,-3.478521,2.35117,4.939919
398,-4.754273,-1.19685,0.9329541,4.990588
399,2.258964,1.508652,3.924979,4.773302
400,4.04656,2.047895,1.999852,4.956605
401,2.235487,-1.342517,3.992302,4.768462
402,3.5274,3.443361,-0.8370885,5
403,2.391923,2.171388,3.734393,4.937804
404,2.258966,1.508639,3.924983,4.773302
405,2.291767,3.572317,2.533563,4.942933
406,0.7586597,-0.3280575,1.231066,1.482804
407,0.3603458,0.3705926,1.09916,1.214636
408,0.1762395,0.2484952,1.486239,1.517141
409,0.1424034,0.426257,1.166254,1.249849
410,0.75848,-0.3284624,1.230873,1.482642
411,0.537877,-0.07533891,1.203938,1.320778
412,0.201003,0.1461824,0.9169654,0.950051
413,0.5328589,-0.0739052,1.206671,1.321157
414,0.6827076,0.1073359,0.9670396,1.188603
415,3.557203,3.23776,1.364997,5
416,0.1096663,-0.1256828,4.997217,5
417,3.55734,3.23753,1.365184,5
418,-0.2667282,0.03323616,1.342021,1.368674
419,-0.4180549,-0.07645614,1.187114,1.260894
420,-0.1567118,-0.003691659,1.426518,1.435105
421,-0.1612889,-0.0009360843,1.422909,1.432021
422,-0.262579,0.0661846,1.364299,1.390914
423,-0.45419,-0.1633201,1.566105,1.638794
424,-0.4554674,-0.1691764,1.563549,1.637302
425,-0.2654386,0.06408332,1.364776,1.391825
426,2.063423,3.395601,1.024568,4.10336
427,1.896998,3.601837,0.8919946,4.167431
428,0.9187963,-4.754264,-1.246108,5
429,0.4039167,-3.999432,2.973448,5
430,4.336047,0.001943654,-2.041451,4.792581
431,3.054551,3.650543,-1.15554,4.898165
432,0.2748737,0.2309811,0.9372416,1.003658
433,0.8475018,-0.05914357,0.9462252,1.271652
434,0.8555195,0.1087627,0.5151154,1.004533
435,0.4977795,0.3630857,0.7041564,0.9356558
436,0.5059789,-0.07775948,1.0205,1.141701
437,0.8471856,-0.05965515,0.9466926,1.271813
438,0.3511208,0.1401273,1.120662,1.182711
439,0.960567,-0.1755318,0.8349836,1.284795
440,0.4681759,-0.2598651,0.7968234,0.9600241
441,0.3517005,0.139822,1.120932,1.183103
442,0.5368514,0.01479053,0.2256591,0.5825378
443,2.536165,1.184845,-4.142947,5
444,4.747402,1.518429,-0.3956593,5
445,4.709181,1.247855,-1.125375,5
446,3.568383,2.542476,2.40883,5
447,2.758587,3.004946,2.891452,5
448,4.105264,-0.6294106,2.783999,5
449,-0.6315811,0.04986077,0.6857522,0.9336149
450,-0.6294421,-0.05137453,0.6872572,0.9333591
451,-0.6998556,-0.07954256,0.7829453,1.053152
452,-0.699612,0.03196429,0.7843673,1.051528
453,-0.3854761,0.03337576,1.345855,1.400369
454,-0.3081408,0.4319979,1.274515,1.380566
455,-0.3458088,0.1530928,1.514496,1.561
456,-0.2556291,0.267791,1.293415,1.345355
457,-0.02329002,0.09181581,1.40077,1.403969
458,2.231223,3.486247,1.22806,4.317453
459,3.287574,-1.697868,-3.3629,5
460,-0.6845066,3.599106,3.402629,5
